Term,Definition
Class,An organizing structure that can contain variables and actions that acts as a blueprint for custom data types to use in a program.
Objects,An instance of a class.
Object-oriented programming,An approach to programming a computer related to breaking down a larger problem into classes and objects that manage the functionality of an app.
Member Variables,Variables contained within a class and outside of an action within that class.
