Term,Definition
Web Content Accessibility Guidelines (WCAG),A set of standards about how to make content on the web accessible to people with disabilities
Cognitive Function Test,"A task that requires the user to remember, manipulate, or transcribe information."
ARIA Live Region,This is a region of the page that can dynamically provide information about how a page is changing.
polite,A live region that tries to balance speed of updates and only do so when really needed
assertive,A live region that aggressively updates accessibility technology.
