Command,Purpose
Ctrl + Alt + N,Start or Restart NVDA
Ctrl,Stop Speech
Shift,Pause Speech
NVDA + N,NVDA Menu
NVDA + S,Toggle Speech Mode
NVDA + Space,Toggle Focus/Browse Mode
NVDA + Q,Quit NVDA
NVDA + Ctrl + Esc,Toggle Screen Curtain
