Command,Purpose
NVDA + Down ,Start reading at current position
Ctrl,Stop Reading
NVDA + Up ,Reread current line
Ctrl + Left,Previous word
Ctrl + Right,Next word
Ctrl + Up,Previous paragraph
Ctrl + Down,Next paragraph
Up,Previous Line
Down,Next Line
Left,Previous Character
Right,Next Character
