Command,Purpose
Cmd + F5,Turn VoiceOver on or off
VO + Fn + F8,Open VoiceOver Utility
VO + H,Open VoiceOver Help Menu
VO + U,Open Rotor
Ctrl,Stop Speech
VO + Shift + Fn + F11,Toggle Screen Curtain
