Command,Purpose
VO + A,Start Reading
Ctrl,Stop Reading
VO + Right,Read next item
VO + Left,Read previous item
VO + P,Read paragraph
VO + S,Read sentence
VO + W,Read word (press W to spell words)
VO + B,Read from to current location
VO + Home,Jump to top of page
VO + End,Jump to bottom of page
VO + Command + Left/Right,"Select speech setting options (e.g. speaking rate, pitch)"
VO + Command + Up/Down,Modify selected speech setting
