Term,Definition
Web Content Accessibility Guidelines (WCAG),A set of standards about how to make content on the web accessible to people with disabilities
Luminance,A measure of the perceived brightness of a color and quantified through the luminance equation
Color Contrast,"Color contrast is a measure, which varies based on the regulatory standard, that compares the colors. In WCAG 2.2, it is calculated through relative luminance. This changes in draft standards like WCAG 3.0."
