Guideline,Description
2.4.5 Multiple Ways,"More than one way of finding a web page should be available such as search, links, table of contents, site maps, or other techniques."
2.4.6 Headings and Labels,Content on the page should have headings and labels that describe the topic. Note that this is important but is also very subjective.
2.4.7 Focus Visible,The keyboard focus should be visible on the screen.
2.4.11 Focus Not Obscured (Minimum) (New to 2.2),Focus should not be entirely hidden by other content.
2.5.7 Dragging Movements (New to 2.2),Any functionality that uses dragging can be done with a single pointer and without dragging.
2.5.8 Target Size (Minimum) (New to 2.2),The size of the target for a pointer input is at least 24 by 24 CSS pixels
