Term,Definition
Form,A library for creating interactive user interfaces
User Interface,"The point of interaction between the user and a computer system, enabling input and output through graphics, sound, touch, or other modalities."
user interface design,"The process of creating a user interface for human users, often through considering alternative approaches that maximize usability or user perception."
Button,A control element that provides a way for a user to trigger an event
