Term,Definition
Class,A custom data type. Classes are a plan for constructing these custom data types in memory
Object,"A class is a plan, whereas an object is one copy of that plan. "
Library,A library is a collection of code that defines a type of Object. Using a library lets you use the type of Object it describes.
Package,A package is a categorized group of libraries.
Action,Actions are tasks that can be performed by variables. Different Object types have different Actions available.
Parameter,A parameter is a single piece of information that is input into an action when it executes.
Standard Library,A set of libraries that are standard in a particular programming language. Most languages have invented their own standard library.
