Quorum Code,Code,Explanation
use LIBRARY,use Libraries.Compute.Math,A use statement lets us use a type of Object in your program.
TYPE NAME,Math math,"A variable declaration that makes a new Object. Unlike primitive variables, Object variables do not need the “=” sign."
NAME:ACTION(),math:Action() [ex. math:AbsoluteValue(-5)],"Instructs the variable to perform a specific, pre-programmed task."
