Term,Definition
Scalable Vector Graphics (SVG),"an image format used to create 2D graphics that can scale to any size without losing quality. SVGs describe shapes, paths, text, and colors using markup, making them independent of  "
Document Object Model,"A data representation of the objects that make up a web page. This representation provides an interface so that programs can change and view the web page’s structure, style, and content."
Accessibility Tree,"A structured, hierarchical representation of a user interface  that is exposed to assistive technologies. It is built from the underlying UI elements and reflects only the parts of the interface that are relevant for accessibility."
Tab Order,The order in which elements on the screen receive focus when navigating with the Tab key
