Term,Definition
Actions,A named sequence of code that can be reused later in a program.
Action Call,Code that tells an action to run.
Argument,A declaration in the signature for an action saying a variable must be passed when calling.
Parameter,A special variable inside an action that was provided to the action when it was called.
Return Value,The result of an action that can be used like a variable.
Scope,The area where a variable exists and can be used. 
