Quorum Code,Code,Explanation
action MyAction,action AddNumbers,Creates a function inside of Quorum
action MyAction (type name),"action AddNumbers(integer a, integer b)","Creates an action that uses parameters, letting you pass in values from the main program to be used in the action."
action myAction returns type,"action AddNumbers(integer a, integer b) returns integer",Creates an action inside of Quorum that returns a value back once the function is finished.
return value,return 0,Placed in value returning action that sends back a value upon termination 
