Role,Description 
alert,Announces important information that requires immediate user attention. aria-live=”assertive” is implied by the role. 
log,Displays a sequence of changes or updates. Think of a system log or chat. Typically used with “polite”.
marquee,A region where content is continuously updated. A stock ticker would be an example. Used with aria-live=”off” to prevent screen reader overload. 
status,Provides advisory information that is important but not urgent. These are “polite” by default.
timer,Displays time based content updates like a countdown. Used with aria-live=”off”
