Term,Definition
Accessible Rich Internet Applications (ARIA),A set of attributes developers can add to especially dynamic HTML elements to make content more accessible
ARIA Role,"Describes the kind of user interface element the HTML is describing (e.g., a button)"
Widget Role,Category of ARIA role that represents an interactive component of the user interface
ARIA Property,Describes a static or informative relationship between elements or a characteristic of it
ARIA State,"Describes a dynamic property of an element. For example, a checkbox might be selected or not"
ARIA Live Region,This is a region of the page that can dynamically provide information about how a page is changing.
