Role,Native HTML,Description
combobox,"&lt input list=""…"">, &lt select>","Composite widget of a text input with a list of selectable options. Typically a text field that controls a listbox, tree, or dialog."
menu,No native equivalent,Popup list of choices or commands. Used in conjunction with “menuitem” and “group” roles.
menubar,No native equivalent,Presentation of a menu typically as a horizontal list of items.
tablist,No native HTML tab system,Container for a group of “tab” elements.
tree,No native equivalent,A hierarchical list of expandable/collapsible “treeitem” elements.
treegrid,No native equivalent,A grid with expandable/collapsible rows and columns.
