Term,Definition
Accessibility Inspector,A tool that enables you to view and debug the accessibility properties of user interfaces. 
Mac Accessibility Inspector,A macOS developer tool that lets you examine the accessibility properties of UI elements in apps and webpages.
Accessibility Insights for Windows,A tool from Microsoft that helps developers find and fix accessibility issues in Windows applications by inspecting UI elements and running tests.
Accessibility Tree,"A structured, hierarchical representation of a user interface  that is exposed to assistive technologies. It is built from the underlying UI elements and reflects only the parts of the interface that are relevant for accessibility."
Switch Control ,"Assistive technology for anyone with limited mobility. It enables you to interact with a device by activating a switch, such as pressing an external adaptive button, performing a head movement, or making a voiced or voiceless sound."
