Term,Definition
Variable,"A variable is a storage container. It has a name, a data type, and a value."
integer,Integers are whole numbers. They can never have a decimal point.
Operator,"An operator is a symbol that changes or combines pieces of data. The most common operators are math symbols like +, -, *, /, or mod."
Loop,"A structure that contains code to be run repeatedly. It runs a certain number of times, or so long as a condition is met."
Multiple Line Block,"A block that takes up more than one line in the editor, and has multiple parts that can be moved and adjusted."
Scope,The area where a variable exists and can be used.
Counter,"A variable, often an integer, that is used to track progress in a loop over time."
