Term,Definition
User Experience (UX),The overall quality of a user’s interaction with software or a website
Accessibility,"Making content and tools usable by all people, no matter their abilities or resources"
Web Content Accessibility Guidelines (WCAG),A set of standards about how to make content on the web accessible to people with disabilities
Voluntary Product Accessibility Template (VPAT),A format for reporting how well your content meets accessibility guidelines.
