Term,Definition
Tab Order,The order in which elements on the screen receive focus when navigating with the Tab key
Keyboard Focus,The position in an application that the keyboard is currently at
Keyboard Selection,"A confusing term to imply not the focus, but typically a sort of sub-focus in an application. A common example is a list, where the list might have the focus but the item under it might have the selection. Operating systems vary in their approach."
Keyboard Trap,A situation where a user can get stuck inside of a certain part of an application when using the keyboard. The same term could also apply to gestures on a tablet.
