Quorum Code,Code,Explanation
DataFrameColumn,DataFrameColumn column = frame:GetColumn(0),A DataFrameColumn is an in memory representation of a column in a spreadsheet.
column:GetAsInteger(index),integer value = column:GetAsInteger(i),A line of code that gets the value of in one cell of a column and gives it back as an integer.
column:GetSize(),integer size = column:GetSize(),A line of code that can obtain the total number of items in a DataFrameColumn.
