Term,Definition
Traversal,"An algorithm that visits all or part of a data structure, typically from the start to the finish."
Control Flow,How the code makes decisions on which statements will run and in which order.
Algorithm,A finite series of steps a computer program can take to solve a problem. 
Data Structure,"A way to store data in the computer that typically has actions to store, retrieve, and traverse that data."
