Quorum Code,Code,Explanation
"if (condition)
end","if true
end","The if statement is a conditional statement. If the program evaluates the condition to be true, it will run the block of code contained inside."
elseif,"if false
elseif true
end","The elseif block is a conditional that is only checked if the previous conditions in the structure were false. If the previous conditions were false and the elseif’s condition is true, it will execute the code contained within the elseif."
else,"if false
elseif false
else
end",This is the default case in a chained if statement. This code will always run if all another above if statements evaluate to false
