Quorum Code,Code,Explanation
integer NAME = VALUE,integer a = 0,"Creates a new variable called NAME that can store integers, and puts VALUE in the container."
number NAME = VALUE,number b = 1.8,"Creates a new variable called NAME that can store numbers, and puts VALUE in the container."
