Term,Definition
Variable,"A variable is a storage container. It has a name, a data type, and a value."
integer,Integers are whole numbers. They can never have a decimal point.
number,A number is a numerical value with a decimal point.
Primitive Variable,"A primitive variable is a variable that stores one of the four basic types of information: integers, numbers, booleans, or text."
Operator,"An operator is a symbol that changes or combines pieces of data. The most common operators are math symbols like +, -, *, /, or mod."
