Template,Purpose
output,Output to the console
input,Get information from the console
say,Talk to the user through the speaker
integer,Define a variable whole number without a decimal point
number,Define a variable with a decimal point
boolean,Define a variable that can only be true or false
text,Define a variable with characters in it
