Template,Purpose
action,This generates a default action with a default name
action (full line),"Similar to action, except that you can type a full line of code and the system will respond"
blueprint,Create a placeholder action
system,Create an action that requires a corresponding plugin. This is an extremely advanced feature and should only be used if careful
on,Create a constructor
on create,Create a constructor by typing the full name
return,Create something to give back from an action
class,This constructs a class
shared,"An advanced feature that creates a shared class, which the system guarantees there is only one copy of across a program"
