Term,Definition
Block programming,Block programming is a style where visual blocks represent pieces of the computer code that can be manipulated through various forms of user input.
Block Tray,A region in a visual editor that contains information  about the code in the editor
Block Editor,"A region in a visual editor that contains all of the lines of code in a user's program. The editor can be manipulated with the keyboard, the mouse, or through the block tray."
text,"Text is any combination of written symbols, like letters or numbers."
boolean,A boolean variable can be only true or false
Variable,"A variable is a storage container. It has a name, a data type, and a value."
