Term,Definition
PNG,A custom data type. Classes are a plan for constructing these custom data types in memory.
OGG,A file format used to put out sound or music.
Random number generator,"A computer program that, while it cannot generate true random numbers, can generate sequences of numbers that feel very random"
User Testing,A method of testing where you test your app with other people.
