Term,Definition
Computer Science,"The study of computers and computational systems. This includes issues like information processing, automation, and algorithms."
Concatenation,The process of connecting or joining together two or more strings of text.
Online Code Editors,"An Internet browser based program that allows you to edit, run, or debug your own code."
Parsons Problems,An often small coding problem where the user selects from smaller code fragments that can be linked into a broader computer program.
text,"Text is any combination of written symbols, like letters or numbers."
