Term,Definition
Web Content Accessibility Guidelines (WCAG),A set of standards about how to make content on the web accessible to people with disabilities
Accessible Rich Internet Applications (ARIA),A set of roles and attributes intended to supplement HTML for passing information to assistive technologies
