Term,Definition
Pair Programming,A technique in software engineering where two programmers work together.
Event Driven Programming,A style of programming where code runs in response to user input.
Inheritance ,A system where a child class gains the properties of a parent class.
Behaviors,"Inside a Form app, behaviors represent code that will run in response to an event occurring."
