Term,Definition
VoiceOver Rotor,An iOS feature that lets users change navigation options (like by headings or links) using a circular dial gesture.
Explore By Touch,A method where users move their finger around the screen to hear item names and information.
TalkBack,Android’s screen reader that provides spoken feedback and uses gestures for navigation and interaction.
Context Menu,A TalkBack menu that offers actions specific to the selected item or screen context.
Gesture,A specific finger movement (like swipe or tap) that performs a screen reader command.
