Term,Definition
Loop,"A structure that contains code to be run repeatedly. It runs a certain number of times, or so long as a condition is met."
Multiple Line Block,"A block that takes up more than one line in the editor, and has multiple parts that can be moved and adjusted."
Scope,The area where a variable exists and can be used. 
