Quorum Code,Code,Explanation
repeat INTEGER times,repeat 10 times end,Runs the code inside the repeat block INTEGER times.
repeat while BOOLEAN,repeat while i < 10 end,Repeatedly runs the code inside the repeat block as long as the BOOLEAN value is true.
repeat until BOOLEAN,repeat until i >= 10 end,Repeatedly runs the code inside the repeat block as long as the BOOLEAN value is false.
end,repeat 8 times end,"Marks the end of a multiple line block, like repeat blocks. Repeat blocks run code between the start of the block and the end."
