Term,Definition
Accessibility Tree,A browser-generated structure that shows how elements interact with assistive technology
Accessibility Checker,A tool that scans a website for potential accessibility issues
Lighthouse,"A Chrome tool that audits websites for performance, Search Engine Optimization, and accessibility"
WAVE,An interactive online tool or browser extension that audits websites for accessibility
Alt-Text,Descriptive text used for images so screen readers can convey the meaning of the images
Contrast Ratio,A measure of color difference between an element and its background
