Term,Definition
Computer Science,"The study of computers and computational systems. This includes issues like information processing, automation, and algorithms."
Platformer Game,"A type of computer game, often in 2 dimensions, where a player moves, jumps, and typically completes activities and levels.Ê"
Integrated Development Environment,Software that includes many common functions involved in the process of creating your own inventions.
Project,"An organized set of files, like source code files, images, movies, graphics scenes, sounds, or other items, that work together when creating software."
