Term,Definition
Block programming,Block programming is a style where visual blocks represent pieces of the computer code that can be manipulated through various forms of user input.
Scaffolded Block Programming,A style of programming where the programming environment adapts as the user controls and manipulates visual elements on the screen to help the programmer know what to do.
Block Palette,A region in a visual editor that contains information  about the code in the editor
Block Editor,"A region in a visual editor that contains all of the lines of code in a user's program. The editor can be manipulated with the keyboard, the mouse, or through the block palette."
Parameters,Pieces of information sent to an action that provides it information on how to act.
